Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
129700,-0.15626,1.102349,-0.984312,2.559488,1.386378,-0.018224,-1.111082,-1.597098,-0.113684,0.068121,-0.204387,1.069323,1.497082,0.472674,0.526466,-0.315555,-0.004918,0.411633,-0.316738,0.660847,-1.056176,-0.732202,-1.046913,-0.668622,-0.287284,1.029091,0.041432,-1.284308,234.31,0
20056,-0.295918,1.099377,-1.031735,1.113361,0.035127,-1.108997,-1.75137,-1.52757,-0.665853,-0.169151,1.346063,0.799088,-0.838941,0.408665,1.651546,1.873917,-0.314406,0.958288,1.389955,-1.507072,-0.512407,2.220019,-0.301036,-2.928951,-0.120962,1.124625,0.00651,0.715364,44.26,0
133437,-0.298678,0.708948,-0.88553,-0.363254,0.194417,-0.230136,0.066019,-1.145392,-0.037755,0.134024,1.615004,-0.268629,-0.650264,0.712944,-3.174749,-0.317348,-0.513713,0.260922,1.246226,1.551281,0.246948,-1.551684,-0.514187,-0.40455,0.367215,0.056247,-0.688298,-1.251648,371.95,0
53861,-1.457624,-0.71166,-0.857821,-0.165998,-0.229054,-1.001957,0.349217,0.228946,-0.728823,0.304278,1.124285,1.428061,0.490662,0.461268,-0.240139,1.029713,-1.070351,0.91385,-0.287605,1.490937,0.588206,-0.067866,-0.236488,0.525613,0.477124,-0.398343,0.091836,0.89639,626.01,0
31941,-0.362757,-0.551561,-1.343872,0.850678,-1.055926,-0.015293,-1.708185,0.818173,1.176856,0.48452,-1.53448,0.838762,-0.827349,-1.170972,-0.383461,-0.403368,-0.505049,1.273674,2.011826,-1.369137,-0.688832,0.142748,-0.388716,0.399399,0.915985,0.749366,0.609734,1.659096,179.61,0
139981,1.090845,-0.761773,0.023185,-0.417697,-0.488365,-0.316139,-0.196175,0.250396,-0.330358,1.227331,-1.7044,1.053954,-0.368504,-0.188833,-0.009615,0.705642,-0.880292,-0.656859,0.50056,-1.698179,-0.034167,-0.79773,-1.008229,-1.638464,0.772302,0.158826,-0.672281,-0.164558,273.49,0
134284,1.070117,1.106729,3.155538,0.51366,-0.860471,0.826193,1.605904,0.474897,-2.124291,0.55536,-0.629872,-1.321926,0.186687,-1.525815,1.023147,0.730879,-0.086669,-0.550078,-0.184099,-1.010915,-0.077044,-2.844459,0.08871,0.11422,0.84515,0.299812,0.977335,0.547031,853.79,0
41825,0.669871,0.201544,-0.764046,-1.064999,-1.432249,-0.560545,-1.005854,-1.70931,0.651345,-1.319064,0.983923,0.394072,0.294341,1.665309,-1.285803,0.873772,-0.297643,2.57107,-0.380794,-0.542308,0.425536,-0.208909,-0.758463,-0.970277,1.458204,-1.163462,0.223088,1.056184,26.05,0
18642,1.48975,-0.517753,-0.617892,-1.061781,2.2363,1.384472,-0.042201,1.931439,-0.101863,0.72441,0.010172,0.397805,0.291761,-0.424985,1.092499,0.715952,1.027695,0.320227,-0.90657,1.709386,-0.262556,0.364067,0.635381,0.357422,0.915417,1.073378,-0.224834,1.625467,16.03,0
160406,0.202351,-1.273036,0.027292,0.679685,0.51202,0.661184,2.185698,0.27153,0.795644,-2.424178,1.865565,0.064999,-0.868006,-0.195228,0.662522,1.034749,-0.095247,0.601442,-0.263217,0.491627,0.206273,0.300826,-0.310964,0.403658,-0.826547,0.194619,-0.634467,-0.993663,34.47,0
